FPR,TPR
0.0,0.0
0.010101010101010102,0.052000000000000005
0.020202020202020204,0.1
0.030303030303030304,0.13599999999999998
0.04040404040404041,0.162
0.05050505050505051,0.25599999999999995
0.06060606060606061,0.27799999999999997
0.07070707070707072,0.344
0.08080808080808081,0.42400000000000004
0.09090909090909091,0.4680000000000001
0.10101010101010102,0.488
0.11111111111111112,0.524
0.12121212121212122,0.618
0.13131313131313133,0.6700000000000002
0.14141414141414144,0.7280000000000001
0.15151515151515152,0.74
0.16161616161616163,0.7460000000000001
0.17171717171717174,0.7619999999999999
0.18181818181818182,0.79
0.19191919191919193,0.792
0.20202020202020204,0.812
0.21212121212121213,0.8140000000000001
0.22222222222222224,0.818
0.23232323232323235,0.8200000000000001
0.24242424242424243,0.8300000000000001
0.25252525252525254,0.834
0.26262626262626265,0.836
0.27272727272727276,0.836
0.2828282828282829,0.8379999999999999
0.29292929292929293,0.842
0.30303030303030304,0.842
0.31313131313131315,0.8459999999999999
0.32323232323232326,0.8480000000000001
0.33333333333333337,0.8540000000000001
0.3434343434343435,0.8540000000000001
0.3535353535353536,0.8540000000000001
0.36363636363636365,0.8540000000000001
0.37373737373737376,0.858
0.38383838383838387,0.86
0.393939393939394,0.86
0.4040404040404041,0.86
0.4141414141414142,0.8619999999999999
0.42424242424242425,0.8639999999999999
0.43434343434343436,0.868
0.4444444444444445,0.8699999999999999
0.4545454545454546,0.8780000000000001
0.4646464646464647,0.8800000000000001
0.4747474747474748,0.8800000000000001
0.48484848484848486,0.8800000000000001
0.494949494949495,0.882
0.5050505050505051,0.8859999999999999
0.5151515151515152,0.8859999999999999
0.5252525252525253,0.8899999999999999
0.5353535353535354,0.8959999999999999
0.5454545454545455,0.8959999999999999
0.5555555555555556,0.9
0.5656565656565657,0.9
0.5757575757575758,0.9039999999999999
0.5858585858585859,0.908
0.595959595959596,0.908
0.6060606060606061,0.9099999999999999
0.6161616161616162,0.916
0.6262626262626263,0.9199999999999999
0.6363636363636365,0.9219999999999999
0.6464646464646465,0.9219999999999999
0.6565656565656566,0.9219999999999999
0.6666666666666667,0.924
0.6767676767676768,0.9279999999999999
0.686868686868687,0.9279999999999999
0.696969696969697,0.9279999999999999
0.7070707070707072,0.9299999999999999
0.7171717171717172,0.932
0.7272727272727273,0.938
0.7373737373737375,0.9400000000000001
0.7474747474747475,0.9400000000000001
0.7575757575757577,0.944
0.7676767676767677,0.95
0.7777777777777778,0.95
0.787878787878788,0.954
0.797979797979798,0.954
0.8080808080808082,0.9559999999999998
0.8181818181818182,0.9559999999999998
0.8282828282828284,0.9620000000000001
0.8383838383838385,0.966
0.8484848484848485,0.968
0.8585858585858587,0.968
0.8686868686868687,0.968
0.8787878787878789,0.9739999999999999
0.888888888888889,0.976
0.8989898989898991,0.978
0.9090909090909092,0.978
0.9191919191919192,0.978
0.9292929292929294,0.978
0.9393939393939394,0.982
0.9494949494949496,0.984
0.9595959595959597,0.9899999999999999
0.9696969696969697,0.9940000000000001
0.9797979797979799,0.9960000000000001
0.98989898989899,0.998
1.0,1.0
