FPR,TPR
0.0,0.0
0.010101010101010102,0.05800000000000001
0.020202020202020204,0.09
0.030303030303030304,0.10399999999999998
0.04040404040404041,0.11399999999999999
0.05050505050505051,0.13
0.06060606060606061,0.14200000000000002
0.07070707070707072,0.156
0.08080808080808081,0.166
0.09090909090909091,0.18
0.10101010101010102,0.198
0.11111111111111112,0.20800000000000002
0.12121212121212122,0.22000000000000003
0.13131313131313133,0.236
0.14141414141414144,0.238
0.15151515151515152,0.25
0.16161616161616163,0.268
0.17171717171717174,0.27
0.18181818181818182,0.288
0.19191919191919193,0.294
0.20202020202020204,0.31799999999999995
0.21212121212121213,0.33
0.22222222222222224,0.33399999999999996
0.23232323232323235,0.33999999999999997
0.24242424242424243,0.348
0.25252525252525254,0.358
0.26262626262626265,0.36
0.27272727272727276,0.368
0.2828282828282829,0.38
0.29292929292929293,0.382
0.30303030303030304,0.392
0.31313131313131315,0.4
0.32323232323232326,0.40800000000000003
0.33333333333333337,0.41600000000000004
0.3434343434343435,0.422
0.3535353535353536,0.43199999999999994
0.36363636363636365,0.43999999999999995
0.37373737373737376,0.45
0.38383838383838387,0.45999999999999996
0.393939393939394,0.46799999999999997
0.4040404040404041,0.476
0.4141414141414142,0.48600000000000004
0.42424242424242425,0.5
0.43434343434343436,0.5040000000000001
0.4444444444444445,0.522
0.4545454545454546,0.5299999999999999
0.4646464646464647,0.5479999999999999
0.4747474747474748,0.5599999999999999
0.48484848484848486,0.5700000000000001
0.494949494949495,0.576
0.5050505050505051,0.588
0.5151515151515152,0.6060000000000001
0.5252525252525253,0.6180000000000001
0.5353535353535354,0.634
0.5454545454545455,0.646
0.5555555555555556,0.6599999999999999
0.5656565656565657,0.6679999999999999
0.5757575757575758,0.682
0.5858585858585859,0.7020000000000002
0.595959595959596,0.708
0.6060606060606061,0.7140000000000001
0.6161616161616162,0.7200000000000001
0.6262626262626263,0.7340000000000001
0.6363636363636365,0.7380000000000001
0.6464646464646465,0.7440000000000001
0.6565656565656566,0.7460000000000001
0.6666666666666667,0.76
0.6767676767676768,0.7619999999999999
0.686868686868687,0.776
0.696969696969697,0.78
0.7070707070707072,0.782
0.7171717171717172,0.796
0.7272727272727273,0.812
0.7373737373737375,0.8219999999999998
0.7474747474747475,0.828
0.7575757575757577,0.836
0.7676767676767677,0.8460000000000001
0.7777777777777778,0.8480000000000001
0.787878787878788,0.85
0.797979797979798,0.8560000000000001
0.8080808080808082,0.8619999999999999
0.8181818181818182,0.868
0.8282828282828284,0.8800000000000001
0.8383838383838385,0.8939999999999999
0.8484848484848485,0.9
0.8585858585858587,0.9
0.8686868686868687,0.9099999999999999
0.8787878787878789,0.9099999999999999
0.888888888888889,0.9259999999999999
0.8989898989898991,0.9259999999999999
0.9090909090909092,0.932
0.9191919191919192,0.938
0.9292929292929294,0.9460000000000001
0.9393939393939394,0.954
0.9494949494949496,0.958
0.9595959595959597,0.968
0.9696969696969697,0.9719999999999999
0.9797979797979799,0.9719999999999999
0.98989898989899,0.976
1.0,1.0
